,slope,r_squared,p_value,pct_change_1999_2024
receiving_totalOffensivePlays,6.299290736145576,0.7650535813667633,5.1534047732349995e-09,14.54370231030098
defensive_avgSackYards,0.043892353266798044,0.7548125940191649,8.651504606866492e-09,14.384724407344237
rushing_longRushing,0.2525179211469534,0.3804098300499388,0.0007913400670880825,14.356203007518792
passing_passingAttempts,4.884969910189636,0.8435947619624642,3.73432871747832e-11,14.026977121829987
passing_netPassingAttempts,4.884969910189636,0.8435947619624642,3.73432871747832e-11,14.026977121829987
passing_sackYardsLost,2.602082989032452,0.5295312359709798,2.5229812525385355e-05,13.924050331115723
defensive_longInterception,-0.1926509511993383,0.15884388904870805,0.04372505848321224,-13.400559105431311
punting_fairCatches,0.22198339054727148,0.5596707263212479,1.1126134674622504e-05,12.719976902008057
defensive_sacks,0.3062186138446515,0.4574183868826349,0.00014882341177506684,12.649331986904144
returning_longPuntReturn,-0.3911093879239041,0.3044131641724194,0.003478285301608413,-12.519343191196706
defensive_totalTackles,3.501442140758547,0.554086275905453,1.2999778004682666e-05,12.446818500757217
punting_touchbackPct,-0.08859923281112735,0.4083506136254482,0.00044146352359815985,-12.376142588267411
defensive_stuffYards,3.2324237738715276,0.5519695667767439,1.3783051681282206e-05,11.733287572860718
passing_sacks,0.29665735750116856,0.4119982547548745,0.0004083451829993379,11.465626955032349
home_winPercent,-0.18427045997610522,0.24542594537698623,0.01007019467839047,-10.548929376408717
passing_totalPointsPerGame,0.10160327871843525,0.5311927043767395,2.4148074551780595e-05,10.365156985512549
receiving_totalPointsPerGame,0.10160327871843525,0.5311927043767395,2.4148074551780595e-05,10.365156985512549
total_avgPointsFor,0.10160327871843525,0.5311927043767395,2.4148074551780595e-05,10.365156985512549
rushing_totalPointsPerGame,0.10160327871843525,0.5311927043767395,2.4148074551780595e-05,10.365156985512549
total_avgPointsAgainst,0.09957546495645406,0.5105992934869493,4.115398443761541e-05,10.117303724307767
returning_longKickReturn,-0.4572442790184726,0.4163853167311121,0.0003715742130670189,-9.225906488549613
kicking_fieldGoalAttempts30_39,0.04463365039977944,0.34552984879985116,0.001589340442268918,8.984375000000005
passing_longPassing,0.3150589330024814,0.6094144803702564,2.542679663518335e-06,8.602977362204726
defensive_passesDefended,-0.21933347118830995,0.32030028476181477,0.002581809546003148,-8.265476704055228
kicking_fieldGoalAttempts40_49,0.04078060380479735,0.16431025206273817,0.03993853755718969,7.599169741697414
kicking_extraPointPct,0.20721314345705258,0.452568136330146,0.00016635629854348284,7.301078936363813
