feature,count,mean,median,std,min,max,q25,q75,skewness,kurtosis
passing_interceptionPct,13564,2.3515540413326135,2.1739130839705467,2.7648757345360546,0.0,20.000000298023224,0.0,3.8461539894342422,1.2810675356137595,1.9141367139717094
miscellaneous_firstDownsPassing,13564,10.775876998901367,11.0,4.802512168884277,0.0,29.0,8.0,14.0,-0.2633763071438884,0.2608779094863696
passing_passingFirstDowns,13564,10.775876998901367,11.0,4.802512168884277,0.0,29.0,8.0,14.0,-0.2633763071438884,0.2608779094863696
kicking_fieldGoalPct,13564,66.84797643622474,100.0,41.88027627892514,0.0,100.0,33.33333333333333,100.0,-0.746897498847685,-1.1705070942311613
receiving_receivingYardsAfterCatch,13564,76.38359069824219,81.0,62.762725830078125,-38.0,312.0,0.0,122.0,0.25995807345834937,-0.7906590776548552
passing_passingTouchdownPct,13564,3.89116748151117,3.2258063554763794,3.5381183738805007,0.0,26.0869562625885,0.0,5.882352963089943,1.0849917380870282,1.7094487151657152
miscellaneous_firstDownsPerGame,13564,17.88432615747567,19.0,6.766033999585129,0.0,39.0,15.0,22.0,-0.9115274553120952,1.1792678985313554
miscellaneous_firstDowns,13564,17.884326934814453,19.0,6.766034126281738,0.0,39.0,15.0,22.0,-0.9115278302104837,1.1792684718914783
rushing_rushingFirstDowns,13564,5.945296287536621,6.0,3.41176700592041,0.0,21.0,4.0,8.0,0.3728778637359994,0.11658047442831965
miscellaneous_firstDownsRushing,13564,5.945296287536621,6.0,3.41176700592041,0.0,21.0,4.0,8.0,0.3728778637359994,0.11658047442831965
defensive_sackYards,13564,14.173178672790527,12.0,12.721479415893555,0.0,91.0,4.0,22.0,1.044101262725351,1.1319204070577138
receiving_receivingYardsAtCatch,13564,144.2186737060547,139.0,77.71680450439453,-23.0,499.0,95.0,190.0,0.41337316193315626,0.49571245685216203
passing_twoPtPassAttempts,13564,0.11213506340312591,0.0,0.3503132195727216,0.0,4.0,0.0,0.0,3.3340735883098165,12.19426720220457
miscellaneous_firstDownsPenalty,13564,1.5882483043350044,1.0,1.404308859328647,0.0,10.0,0.0,2.0,0.9306052106168518,0.9059820254920572
rushing_rushingAttempts,13564,24.799394607543945,25.0,9.85215950012207,0.0,55.0,20.0,31.0,-0.6276642926190487,0.800782244967932
passing_passingFumblesLost,13564,0.3028604984283447,0.0,0.5576575994491577,0.0,4.0,0.0,1.0,1.8473146885812084,3.3000161534935852
scoring_kickExtraPoints,13564,2.1397080507225006,2.0,1.5305450843072275,0.0,10.0,1.0,3.0,0.5347945540776186,-0.01315824562170409
receiving_netYardsPerGame,13564,299.97876732527277,313.0,118.39635224075636,-62.0,727.0,244.0,378.0,-0.7878754048003834,0.7965642818959187
